series,episode,title,stardate,airdate
TNG,59,Deja Q,43539.1,"5 Feb, 1990"
TNG,60,A Matter of Perspective,43610.4,"12 Feb, 1990"
TNG,61,Yesterday's Enterprise,43625.2,"19 Feb, 1990"
TNG,62,The Offspring,43657.0,"12 Mar, 1990"
TNG,63,Sins of the Father,43685.2,"19 Mar, 1990"
TNG,64,Allegiance,43714.1,"26 Mar, 1990"
TNG,65,Captain's Holiday,43745.2,"2 Apr, 1990"
TNG,66,Tin Man,43779.3,"23 Apr, 1990"
TNG,67,Hollow Pursuits,43807.4,"30 Apr, 1990"
TNG,68,The Most Toys,43872.2,"7 May, 1990"
TNG,69,Sarek,43917.4,"14 May, 1990"
TNG,70,Menage A Troi,43930.7,"28 May, 1990"
TNG,71,Transfigurations,43957.2,"4 Jun, 1990"
TNG,72,The Best of Both Worlds Part 1,43989.1,"18 Jun, 1990"
TNG,73,The Best of Both Worlds Part 2,44001.4,"24 Sep, 1990"
TNG,74,Family,44012.3,"1 Oct, 1990"
TNG,75,Brothers,44085.7,"8 Oct, 1990"
TNG,76,Suddenly Human,44143.7,"15 Oct, 1990"
TNG,77,Remember Me,44161.2,"22 Oct, 1990"
TNG,78,Legacy,44215.2,"29 Oct, 1990"
TNG,79,Reunion,44246.3,"5 Nov, 1990"
TNG,80,Future Imperfect,44286.5,"12 Nov, 1990"
TNG,81,Final Mission,44307.3,"19 Nov, 1990"
TNG,82,The Loss,44356.9,"31 Dec, 1990"
TNG,83,Data's Day,44390.1,"7 Jan, 1991"
TNG,84,The Wounded,44429.6,"28 Jan, 1991"
TNG,85,Devil's Due,44474.5,"4 Feb, 1991"
TNG,86,Clues,44502.7,"11 Feb, 1991"
TNG,87,First Contact,Unknown,"18 Feb, 1991"
TNG,88,Galaxy's Child,44614.6,"11 Mar, 1991"
TNG,89,Night Terrors,44631.2,"18 Mar, 1991"
TNG,90,Identity Crisis,44664.5,"25 Mar, 1991"
TNG,91,The Nth Degree,44704.2,"1 Apr, 1991"
TNG,92,Qpid,44741.9,"22 Apr, 1991"
TNG,93,The Drumhead,44769.2,"29 Apr, 1991"
TNG,94,Half A Life,44805.3,"6 May, 1991"
TNG,95,The Host,44821.3,"13 May, 1991"
TNG,96,The Mind's Eye,44885.5,"27 May, 1991"
TNG,97,In Theory,44932.3,"3 Jun, 1991"
TNG,98,Redemption Part 1,44995.3,"17 Jun, 1991"
TNG,99,Redemption Part 2,45020.4,"23 Sep, 1991"
TNG,100,Darmok,45047.2,"30 Sep, 1991"
TNG,101,Ensign Ro,45076.3,"7 Oct, 1991"
TNG,102,Silicon Avatar,45122.3,"14 Oct, 1991"
TNG,103,Disaster,45156.1,"21 Oct, 1991"
TNG,104,The Game,45208.2,"28 Oct, 1991"
TNG,105,Unification Part 1,45236.4,"4 Nov, 1991"
TNG,106,Unification Part 2,45245.8,"11 Nov, 1991"
TNG,107,A Matter of Time,45349.1,"18 Nov, 1991"
TNG,108,New Ground,45376.3,"6 Jan, 1992"
TNG,109,Hero Worship,45397.3,"27 Jan, 1992"
TNG,110,Violations,45429.3,"3 Feb, 1992"
TNG,111,The Masterpiece Society,45470.1,"10 Feb, 1992"
TNG,112,Conundrum,45494.2,"17 Feb, 1992"
TNG,113,Power Play,45571.2,"24 Feb, 1992"
TNG,114,Ethics,45587.3,"2 Mar, 1992"
TNG,115,The Outcast,45614.6,"16 Mar, 1992"
TNG,116,Cause and Effect,45652.1,"23 Mar, 1992"
TNG,117,The First Duty,45703.9,"30 Mar, 1992"
TNG,118,Cost of Living,45733.6,"20 Apr, 1992"
TNG,119,The Perfect Mate,45761.3,"27 Apr, 1992"
TNG,120,Imaginary Friend,45832.1,"4 May, 1992"
TNG,121,"I, Borg",45854.2,"11 May, 1992"
TNG,122,The Next Phase,45092.4,"18 May, 1992"
TNG,123,The Inner Light,45944.1,"1 Jun, 1992"
TNG,124,Times Arrow Part 1,45959.1,"15 Jun, 1992"
TNG,125,Times Arrow Part 2,46001.3,"21 Sep, 1992"
TNG,126,Realm of Fear,46041.1,"28 Sep, 1992"
TNG,127,Man of The People,46071.6,"5 Oct, 1992"
TNG,128,Relics,46125.3,"12 Oct, 1992"
TNG,129,Schisms,46154.2,"19 Oct, 1992"
TNG,130,True Q,46192.3,"26 Oct, 1992"
TNG,131,Rascals,46235.7,"2 Nov, 1992"
TNG,132,A Fistful of Datas,46271.5,"9 Nov, 1992"
TNG,133,The Quality of Life,46307.2,"16 Nov, 1992"
TNG,134,Chain of Command Part 1,46357.4,"14 Dec, 1992"
TNG,135,Chain of Command Part 2,46360.8,"14 Dec, 1992"
TNG,136,Ship in a Bottle,46424.1,"25 Jan, 1993"
TNG,137,Aquiel,46461.3,"1 Feb, 1993"
TNG,138,Face of the Enemy,46519.1,"8 Feb, 1993"
TNG,139,Tapestry,Unknown,"15 Feb, 1993"
TNG,140,Birthright Part 1,46678.4,"22 Feb, 1993"
TNG,141,Birthright Part 2,46579.2,"1 Mar, 1993"
TNG,142,Starship Mine,46682.4,"29 Mar, 1993"
TNG,143,Lessons,46693.1,"3 Apr, 1993"
TNG,144,The Chase,46731.5,"26 Apr, 1993"
TNG,145,Frame of Mind,46778.1,"3 May, 1993"
TNG,146,Suspicions,46830.1,"10 May, 1993"
TNG,147,Rightful Heir,46852.2,"17 May, 1993"
TNG,148,Second Chances,46915.2,"24 May, 1993"
TNG,149,Timescape,46944.2,"14 Jun, 1993"
TNG,150,Descent Part 1,46982.1,"21 Jun, 1993"
TNG,151,Descent Part 2,47025.4,"20 Sep, 1993"
TNG,152,Liaisons,Unknown,"27 Sep, 1993"
TNG,153,Interface,47215.5,"4 Oct, 1993"
TNG,154,Gambit Part 1,47135.2,"11 Oct, 1993"
TNG,155,Gambit Part 2,47160.1,"18 Oct, 1993"
TNG,156,Phantasms,47225.7,"25 Oct, 1993"
TNG,157,Dark Page,47254.1,"1 Nov, 1993"
TNG,158,Attached,47304.2,"8 Nov, 1993"
TNG,159,Force of Nature,47310.2,"15 Nov, 1993"
TNG,160,Inheritance,47410.2,"22 Nov, 1993"
TNG,161,Parallels,47391.2,"29 Nov, 1993"
TNG,162,The Pegasus,47457.1,"10 Jan, 1994"
TNG,163,Homeward,47423.9,"17 Jan, 1994"
